label,duration,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,file,strain
upward ramp,0.022,,52700,53700,54600,55600,56600,58100,58500,,,T0000085,SD
upward ramp,0.0332,,42900,44400,,46300,,,51700,,,T0000085,SD
upward ramp,0.0209,,,,,,,,,,,T0000085,SD
upward ramp,0.0322,,56100,58100,58500,58500,60000,61500,,,,T0000085,SD
upward ramp,0.023,,,,,,,,58500,,,T0000085,SD
upward ramp,0.0133,,,,,,,,,,,T0000085,SD
,0.0486,,,,,,,,,,,T0000085,SD
,0.0906,,,,,,,,,,,T0000085,SD
,0.0281,,,,,,,,45400,,,T0000085,SD
,0.0547,,,,,,,,,50700,,T0000085,SD
,0.0435,,,,,,,,,,,T0000085,SD
,0.0235,,,,,,,,,,,T0000085,SD
,0.0368,,47800,,,,,,,,,T0000085,SD
,0.0163,,,,,,,,,,,T0000085,SD
,0.0235,,,,,,,,,,,T0000085,SD
,0.0153,,,,,,,,,,,T0000085,SD
,0.0583,,,52700,51200,50200,43400,43900,43900,43400,,T0000085,SD
,0.0291,,,,,,,,,,,T0000085,SD
trill,0.0337,,,54600,,,56600,57100,55600,53200,,T0000085,SD
step up,0.1203,,40500,,,,,,,,52200,T0000085,SD
step up,0.043,41000,41500,,,,,62500,62500,63400,63400,T0000085,SD
step up,0.0901,,,,,,,,,,,T0000085,SD
step up,0.0465,,41500,,,,50700,50200,,51200,,T0000085,SD
step up,0.0865,,41900,41500,41900,41900,,,,54100,,T0000085,SD
step up,0.0471,,42400,,,,,,,,,T0000085,SD
step up,0.1162,,,44900,43900,,55600,54600,52200,51200,,T0000085,SD
step up,0.0962,,,43400,,,43900,,,,,T0000085,SD
step up,0.0517,,,,,,,,,,,T0000085,SD
step up,0.0343,,,41000,,,52700,52200,52200,,,T0000085,SD
step up,0.132,40500,40500,40000,39500,39500,39000,39000,49800,49300,49300,T0000085,SD
step up,0.1177,,42400,41000,40000,39500,39500,40500,,55600,,T0000085,SD
step down,0.0788,,,,81000,,,,,,,T0000085,SD
step down,0.1628,,,54100,,,,43900,43900,,42900,T0000085,SD
step down,0.0906,,,,,,40500,40500,40500,,,T0000085,SD
step down,0.0599,,,,,,,,,,,T0000085,SD
step down,0.0583,,,,,,,,,,,T0000085,SD
step down,0.0906,,58500,,,,43900,44400,,44400,,T0000085,SD
step down,0.0445,,,,,,,43400,,,,T0000085,SD
step down,0.1315,,,,,,,,,,,T0000085,SD
step down,0.0276,,52200,53700,54100,,,,,,,T0000085,SD
step down,0.0286,,55600,56100,56100,,,,,,,T0000085,SD
step down,0.1003,,79500,,,,,,,,,T0000085,SD
step down,0.1029,,53200,52200,53700,,,43400,42900,43400,,T0000085,SD
step down,0.2068,,,,,,40500,80500,,80500,,T0000085,SD
step down,0.0721,,,,44900,44400,89300,,52700,55600,,T0000085,SD
step down,0.0455,,,,,,,,,,,T0000085,SD
step down,0.0803,58100,,42900,41000,,,,,,,T0000085,SD
step down,0.0588,49800,49800,,,,,,,,,T0000085,SD
step down,0.1064,57600,57100,,56600,58100,,42400,42400,,,T0000085,SD
short-ur,0.0081,,,53200,53700,,,,,,56600,T0000085,SD
short-ur,0.0102,,,,,54600,,55100,55100,55600,,T0000085,SD
short-ur,0.0102,,52700,53200,54100,54600,55600,,,,,T0000085,SD
short-ur,0.0076,,71700,72200,72700,72700,,,,,,T0000085,SD
short-ur,0.0112,,53200,54100,54600,,,57100,57600,57600,,T0000085,SD
short-su,0.0051,,,,,,,73700,73700,73700,73700,T0000085,SD
short-dr,0.0087,,77600,,,,,,,,,T0000085,SD
short-dr,0.0092,,,,,,,,,,,T0000085,SD
short-c,0.0112,49800,50700,50700,53200,53200,54100,54600,,,,T0000085,SD
short,0.0087,,,,,,,,,,,T0000085,SD
short,0.0087,,,50200,50700,50200,49300,49300,,,,T0000085,SD
short,0.0107,,51700,52200,53200,53200,53700,53700,53700,53700,,T0000085,SD
short,0.0051,,,,,,43400,43400,43400,43400,,T0000085,SD
short,0.004,,,,33200,33200,33200,,,,,T0000085,SD
short,0.0092,,42400,,41900,41900,,41500,41900,,,T0000085,SD
short,0.0071,52700,53200,53200,53200,,,,,,,T0000085,SD
short,0.0056,,,45800,45800,,,,,,,T0000085,SD
short,0.0087,,,,,,42900,,42900,,,T0000085,SD
short,0.0081,,,,41900,41900,41900,41900,41500,41500,,T0000085,SD
short,0.0087,,,,,55600,55600,56100,55600,55600,,T0000085,SD
short,0.0117,,,,,,,,,,,T0000085,SD
short,0.004,,,52700,52700,,52700,,,,,T0000085,SD
short,0.0097,,,50200,50200,50200,49800,,,,,T0000085,SD
short,0.0076,,,,,66400,66400,,66400,,,T0000085,SD
short,0.0081,,,83900,83900,83900,83900,83900,84400,,,T0000085,SD
short,0.0061,,,,,,,,,,,T0000085,SD
short,0.0097,,,,,,,,,,,T0000085,SD
short,0.004,,,,,,,,,,,T0000085,SD
short,0.0035,,,53700,53700,53700,53700,53700,53700,53700,,T0000085,SD
short,0.004,,,,,,,,,,,T0000085,SD
short,0.0071,56100,56100,56100,56600,56100,56100,54600,54600,,,T0000085,SD
short,0.0107,,,,51200,50700,,49800,50200,49800,,T0000085,SD
short,0.0087,,,,,,,,,,,T0000085,SD
short,0.0061,,,,,,51200,51700,51700,,,T0000085,SD
short,0.0046,,,,,,,52700,,,,T0000085,SD
short,0.0102,,,,,,,,,,,T0000085,SD
short,0.0076,,,,55100,55100,55600,,55600,,,T0000085,SD
short,0.0081,,,,,,,53700,53700,,,T0000085,SD
short,0.0092,,,,,,,,,,,T0000085,SD
