label,duration,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,file,strain
flat,0.0261,,,,,,,,,,,49800,49800,,49800,49800,49300,50200,49800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0414,,,50200,50200,50200,50200,50200,,49800,,49800,,,49800,49800,,49300,49300,49300,49300,48800,48800,48800,48800,48800,48800,48800,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,47800,47800,48300,47800,48300,47800,48300,48300,48300,48300,,T0000085,SD
flat,0.0302,,,,,,,,,,,,,,52200,52200,52200,52200,52700,52200,52200,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,52700,53200,,T0000085,SD
flat-z,0.0747,,,,,,,,,,,47800,,,46800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat-z,0.0721,,,,,,,,,,,,,,42900,42900,,,,42400,,,,,,,,,,,,,,,,,,,,,,,41900,41900,41900,41900,41900,41900,,41500,,T0000085,SD
flat-z,0.0486,,,,,,,,47800,,,47800,47800,47800,47300,46800,47300,46800,46800,46800,,,,,,43400,42900,42900,,,,,42900,42900,42900,42400,,,,,,,,,,,,,,,,T0000085,SD
flat-z,0.0568,,,,,,,49800,49300,,,,49300,48800,48800,49300,48800,48800,48800,48800,,,,,,,,,47800,47800,47800,47800,47800,47800,47800,47300,,,43900,44400,44400,44400,43900,43900,43900,43900,43900,43900,43900,43400,,T0000085,SD
flat,0.0373,,50700,50700,51200,50700,50700,50700,,,,,,50200,50200,50200,50200,50200,50200,50200,50200,49800,50200,50200,49800,50200,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49300,49800,49300,49300,49300,49300,48800,48800,48800,48800,,T0000085,SD
flat,0.0568,,,,,,,,,,41900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0184,,,,,,,,,,,52200,52200,52200,52200,52200,,,52200,52200,52200,52200,52200,,,,,,,,,,,,,,,51700,,,,,,,,,,,,,,T0000085,SD
flat,0.0696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21400,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.1049,58500,58100,58100,57600,57100,57100,56600,56600,55600,55600,55100,,,54600,,54600,54600,54600,54100,54100,54100,,,,,,,,,,,,,,,,,,,,,53700,54100,54100,,55600,,,,,T0000085,SD
