"mean_f","var_f","diff.range","trend","max.jump","corr.decay","above_mean","duration","label"
48942.9902727321,643142.403721665,2412.4009191193,-51.6570329461947,-500,-0.00230846263709428,20,-3.18447439815087,"flat"
53148.0020335317,727583.862103961,3711.4864907711,-19.5012620294815,500,-0.000615207647861382,26,-3.49991335460131,"flat"
47475.0451455166,6460140.23419586,11081.5102315683,-164.523888412529,2457.0502690097,-0.0022166776678624,34,-2.86821895325503,"flat-z"
49938.1508048086,323858.394021574,2400,-36.7000213884432,500,-0.00213597844230819,23,-3.28876195233237,"flat"
40532.0443349754,445137.772499482,2112.3426382047,24.5959073284485,500,-0.00118160003199377,23,-2.34653698052323,"flat"
50982.9249632038,315215299.756301,64290.1084771862,165.486039008438,-13082.4707166452,-0.000398646126407227,15,-2.1663074747015,"flat-z"
44299.5387015192,4275033.8133522,5900,-130.088569880758,1463.734185806,-0.00223284736901994,19,-3.00376444525126,"flat-z"
52128.6404436443,268459790.016775,41500,582.175586624996,-40000,-0.000953694669011712,15,-2.74887219562247,"flat"
46309.8897121161,1291417.90843192,3400,-5.96255487709814,-1900,-0.000499923006442493,35,-3.22137895508632,"flat-mz"
44198.2427773078,7247743.99735174,7644.2917019151,-175.746982850666,-3400,-0.0023436877505505,20,-2.79034544382904,"flat-z"
42535.5497233022,3368899.51723951,8302.9464646417,-74.2686572116556,3142.3945077688,-0.00111871470998882,16,-2.48410696961744,"flat"
41228.6835844572,196190.233345148,2400,-20.2086111644962,733.572610927004,-0.00110707529464948,22,-2.48410696961744,"flat"
41430.7223430752,388448.188272462,2304.9575764127,-14.4340055505784,1592.4626606953,-0.000625257292243901,22,-2.58097711853873,"flat"
41351.1459014648,147798.160595537,1447.8982798426,-2.51589077215641,900,-0.000444080764173923,28,-2.70306265959117,"flat"
49300.3029563478,1.31018967862797,5.70014318740141,0.0226614808852975,5.70014316680317,-0.000382456052214536,6,-4.87960703168985,"short"
42850,22959.1836734694,500,5.40216086434574,500,-0.000816931898639035,45,-5.18498868124103,"short"
47053.0309005722,12113193.4480141,9104.1532621588,-210.180957415683,-711.519721405602,-0.00212574491658868,31,-2.96229749746775,"flat-z"
49611.4802692368,57131.473080154,500,-1.54878854780542,500,-0.000466292196999007,31,-4.40631932724293,"flat"
50876.4715911821,907327.202042079,3542.8060072318,-42.9189112025996,1173.06511614039,-0.00129694980940202,19,-2.91507437053654,"flat"
41121.9405561198,823780.429137578,3466.4251476388,-46.8473425420913,-900,-0.00147652574818515,19,-2.47812966550898,"flat"
41173.3188818048,118570.361623881,1592.5365818921,-0.87913505269105,-1592.5365818921,-0.000255572263499886,19,-2.80676617404137,"flat"
45663.7645875846,8786702.20673484,6916.4611402398,187.326720032428,600.470553866697,-0.00229067119940066,27,-3.01389624418166,"flat-z"
41755.280564411,37421.7852855457,400,4.80702691453707,400,-0.000708963021004099,32,-3.03447310187042,"flat"
42676.286215965,181879.62549681,2000,-1.99305168039228,-1000,-0.000357178979438437,27,-3.02413174807569,"flat"
48750,186224.489795918,1500,27.8271308523417,500,-0.00225615017336227,31,-3.55434856115633,"flat"
49301.5167487137,107.610757910983,75.6822720197015,0.187024786247522,73.1779878290981,-0.000286718071677722,2,-3.42038020107893,"flat"
44619.9999999992,62857.1428566663,500,14.6458583432386,500,-0.0019917453675576,22,-3.57198570264244,"flat"
49200.0802726508,163917849.95055,45682.8925469846,612.487614542984,3100.1848126435,-0.001418616804529,13,-2.80676617404137,"flat"
41388.534144146,715397.935876162,2900,-51.5530075465186,-500,-0.00205505003158027,18,-2.39579747471622,"flat"
41878.8512847736,68093.2110761501,944.933208941897,-13.8598250704261,433.699906706497,-0.00150391118093513,38,-2.96229749746775,"flat"
47797.9923529391,636667.469237513,2551.41924324451,36.9367364254716,-1528.3918781414,-0.00152709268242883,26,-2.87706074383649,"flat"
47334.149542812,4608933.22564078,5900,-115.767893392049,-4900,-0.00168010942308637,37,-3.00376444525126,"flat-z"
44099.5691681243,7170939.21011637,8001.6025483862,43.491503496379,-4400,-0.000674163782121408,17,-2.41239995900125,"flat-z"
42183.9522314984,454606.511741125,2121.0356822528,-43.8452397197487,-500,-0.00231072461919113,23,-3.20892549401503,"flat"
51194.3169318763,711169.894194562,2717.5735458793,54.225004862032,-1452.7206376378,-0.00227383412513012,31,-3.42038020107893,"flat"
47648.3532033514,6811318.90438171,8300,-135.453219627313,-5900,-0.00146971633840339,41,-2.67220054820851,"flat-z"
48704.8158496286,42867540.6825275,46708.2916903644,-109.035837748584,21711.3377936159,-0.000393144303643576,22,-2.31465767422831,"flat-z"
43140.0007029713,245261.653124183,1500,-31.7269622132407,-500,-0.00218344950522696,20,-2.80676617404137,"flat"
40544.6396012341,1639443.97314263,5984.3279989315,-74.2455961085069,-2084.3279989315,-0.00177389515091224,18,-2.37946613733,"flat"
42205.7572443508,208011.328906782,1744.1810030012,15.3415851778766,-500,-0.00105890922701306,26,-3.49991335460131,"flat"
41857.877676882,3356677.45824186,6300,27.5713923622248,3585.9637578711,-0.000577451804980392,25,-1.90448033929217,"flat"
40929.8225244588,682104.921371654,2807.352573657,-42.1463436233696,606.444861765303,-0.00155256992639976,24,-3.14655516328857,"flat"
51673.6826667966,5340280.06477652,7300,27.9789900268621,1856.5976922824,-0.000673273582225555,26,-1.89379219479321,"flat"
42729.0392114658,21412796.9427284,17381.0051353576,176.695731839358,4302.5549589735,-0.00111264625459921,37,-1.65600554825044,"flat-mz"
49874.5787221801,11265.1922053384,400.080247508798,-1.64505334259669,400,-0.000370728157056523,20,-3.55434856115633,"flat"
54154.115574371,450839567.142961,76396.2928330577,-941.284302343215,-42500,-0.00107046467034313,18,-2.15244243456433,"flat"
41226.9087294727,60179.7272739313,660.787607923798,0.280083687367313,500,-0.000461039065748396,25,-2.27886856637673,"flat"
51674.0470386393,401024.748947884,2000.0000000306,-38.9236377112885,-500,-0.00208315502841913,32,-4.24749574171628,"flat"
41710.2347198276,276992.915714201,1850.5368645207,3.20576170407167,584.481030499097,-0.000623312127379551,22,-3.24676102835774,"flat"
42710.9115601522,3250614.98306084,5800,-98.9565331547205,1000,-0.00182391795952994,16,-2.84215318562569,"flat"
39368.1486934422,2976546.76242108,5884.0847059246,-116.417689770074,-500,-0.00236283598983959,22,-2.91507437053654,"flat"
40685.722208946,855081.002227603,2900,-53.1653032370018,-1000,-0.0018588157109759,20,-3.02413174807569,"flat"
42933.4909847846,18221221.4916976,22505.2341984052,59.463616660932,4182.7698542556,-0.000381303847986927,16,-3.4514385980989,"flat"
