"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","duration","label","file","strain"
50212.4009191193,50204.1336397064,50200,50200,50200,50200,50200,50013.0731847244,49800,49757.5246554051,49800,49805.4521442627,49788.9916048585,49800,49800,49546.6455608814,49300,49300,49300,49300,48800,48800,48800,48800,48800,48800,48800,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,47800,47800,48300,47800,48300,47800,48300,48300,48300,48300,48221.2919276485,0.0414,"flat","T0000085","SD"
55911.4864907711,55587.1818459465,55262.8772011218,54938.5725562971,54614.2679114725,54289.9632666478,53965.6586218232,53713.4216758484,53281.0154827489,52920.6769884993,52632.4061930996,52416.2030965498,52272.0676988499,52200,52200,52200,52200,52700,52200,52200,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,52700,53200,53394.302646909,0.0302,"flat","T0000085","SD"
50839.1328184553,50724.9058715497,50610.6789246442,50496.4519777386,52953.5022467483,50951.1674155828,49800,49300,49243.172506898,49389.5429772698,49491.1419590068,49300,48800,48800,49300,48800,48800,48800,48800,48764.1169945899,48675.0216091063,48547.4589951127,48396.1743041727,48235.9126878498,48081.4192977075,47947.4392853094,47848.717802219,47800,47800,47800,47800,47800,47800,47800,47300,45969.3474863549,44514.9601003342,43900,44400,44400,44400,43900,43900,43900,43900,43900,43900,43900,43400,41871.99201518,0.0568,"flat-z","T0000085","SD"
50747.687164535,50700,50700,51200,50700,50700,50700,50619.4279604577,50518.5984644505,50411.8762161897,50313.6259198867,50238.212279753,50200,50200,50200,50200,50200,50200,50200,50200,49800,50200,50200,49800,50200,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49300,49800,49300,49300,49300,49300,48800,48800,48800,48800,48858.112235157,0.0373,"flat","T0000085","SD"
39387.6573617953,39450.1915708812,39512.7257799672,39575.2599890531,39637.794198139,39700.328407225,39762.8626163109,39825.3968253968,39500,40000,40000,40000,40000,40000,40500,40500,40500,40500,41000,40500,40500,41000,40500,41000,41000,41000,41000,41000,41000,41500,41000,41000,41500,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,40500,41000,40500,40000,40000,39500,39750,0.0957,"flat","T0000085","SD"
47996.8429498912,48300,48300,48097.3362389707,47794.4751623097,47494.3765044938,47300,47300,47300,46800,46800,46300,44968.2232570495,43900,43900,43900,43900,43900,43900,43900,43900,43400,41084.577225112,37689.5491510916,34549.2465847545,32998.0003329164,34370.141202393,40000,50404.9820543023,62834.7907808621,73722.2041169908,79500,79100,79100,79590.7798576147,79971.8840721364,80057.5983578507,79662.2084290433,78600,76685.2587850065,73732.2704983484,69555.3208543116,63968.6955671816,56786.6803512443,47823.5609207854,36893.6229900905,23811.1522734453,15767.4898806645,15767.4898806645,15767.4898806645,0.1146,"flat-z","T0000085","SD"
47486.7086635977,47356.620093717,47226.5315238362,47096.4429539555,46966.3543840747,46836.265814194,48300,47300,47300,47300,47300,47300,47300,46800,46209.6321213877,45674.8552319736,45195.6867006926,44772.1438964798,44404.2441882703,44092.0049449992,43835.4435356015,43634.5773290124,43489.4236941669,43400,43400,43400,42900,42900,42900,42900,42900,42400,42400,42900,42400,42400,42900,42400,42400,42400,42400,42900,42400,42400,42400,42400,42400,42400,42400,42400,0.0496,"flat-z","T0000085","SD"
43400,42900,42900,42900,42900,42900,42400,42400,42400,42400,42525.3995567895,42400,41900,41900,41900,41900,41900,41900,41500,41900,41900,41500,41500,41500,41500,41000,41000,41000,46192.298904791,55738.7238444391,66738.9993316916,76292.8498792961,81500,81500,81500,81500,81500,81500,81500,41500,81000,41500,41500,80500,80500,41000,40500,58621.8753326031,66221.8753326031,40000,0.064,"flat","T0000085","SD"
44400,44400,44900,44400,45400,45400,46300,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,46800,44900,44400,43900,43900,44400,44400,44400,44994.4856058048,0.0399,"flat-mz","T0000085","SD"
47800,47800,47800,47800,47800,47800,47800,47300,47800,47300,47300,47300,47300,47300,46800,46800,46800,46800,46800,46800,43400,43400,43400,42900,42900,42900,42900,42900,42900,42900,42400,42400,42400,42400,41900,41900,41900,41900,41900,41500,41500,41500,41500,41500,41500,41000,41000,41156.430567305,41000,40155.7082980849,0.0614,"flat-z","T0000085","SD"
