"","mean_f","var_f","diff.range","trend","max.jump","corr.decay","above_mean","duration","label","CallClass"
"1",16243.3890096921,143530.645865184,1480.74643213483,-18.2894070705622,-500,-0.00127020023061177,23,-1.82821600623867,"idk","3"
"6",50227.1775403863,428782.251274547,1950.95211321767,-36.3170122243281,500,-0.00191138906357464,19,-2.95267278409354,"flat","1"
"7",41748,167036.734693878,1400,-21.8103241296516,500,-0.00172430908655201,26,-2.47812966550898,"flat","1"
"8",41252.9415483568,189773.976798129,1441.46129108073,15.1882622434849,900,-0.000907299804106113,21,-2.33614187652289,"flat","1"
"9",48529.6408222383,574969.726253649,2400.00612341623,45.0951181322779,900,-0.00205995461651219,20,-3.14655516328857,"flat","1"
"13",50640,431020.408163265,1900,-37.1476590636251,-500,-0.00191777696829804,22,-3.55434856115633,"flat","1"
"14",56760,96326.5306122449,1000,-9.98799519808016,500,-0.000990900379707312,20,-5.09946650780287,"short","2"
"15",70749.6630031937,397693.531003668,2050.07850299131,5.68028535388779,1900,-0.000237394151681601,31,-5.27851473925186,"short","2"
"16",59416,6143412.24489796,5900,149.791116446578,3400,-0.00210246533813261,32,-4.7444322533216,"short-ur","2"
"17",61218.2211255782,5558255.77972667,6300,137.113633189447,4900,-0.00189631774574619,37,-5.52146091786225,"short-ur","2"
"19",56810,266224.489795918,2000,23.8895558223287,1000,-0.00135568857098288,32,-4.87960703168985,"short","2"
"20",60237.3353068149,105860.463157859,1000,-1.25148508985132,500,-0.000536022072150577,28,-4.94766049493487,"short","2"
"21",68153.2888835135,19471641.7724683,16508.0914646199,269.540674237765,3354.04573230995,-0.00191671849312417,37,-4.81589121730374,"short-ur","2"
"24",54518.0036501852,532782.035173784,2400,43.5109728615377,500,-0.00202428437600628,32,-4.31999124375443,"flat","1"
"25",49094.5026458582,134597.823299542,1873.76787415495,-4.15697789505994,500,-0.000305259781454267,32,-4.11659017116942,"flat","1"
"26",52160,784081.632653061,3000,58.679471788715,500,-0.00231341850773139,32,-3.4673371841667,"flat","1"
"28",45005.9270243299,1308984.08651248,3900,-48.2354256280016,-1471.38249687265,-0.00110517762379516,42,-3.86800612001137,"flat-z","1"
"29",52702.6602331208,505870.050260501,2400,27.5019929315364,2000,-0.000892258327422668,21,-3.16060691674423,"flat harmx","1"
"34",50497.8062997709,109155.90312052,1302.26535548326,13.1419206685395,500,-0.000857396812268156,25,-4.14774533894922,"flat","1"
"35",51258.6869882523,767903.830344039,3400,57.7410803831583,900,-0.00227002412060228,20,-3.48349262438899,"flat","1"
"37",49689.6305465626,189458.179611765,1900,-10.3057790348044,-1000,-0.000782738165820998,26,-3.07911388249304,"flat","1"
"44",57330,73571.4285714286,1000,-5.78631452581046,500,-0.000758257695579905,24,-5.80914299031403,"short","2"
"46",52436.665156568,108663.242802603,1109.72787719443,9.18074320604049,-609.727877194426,-0.000706522633245406,28,-3.16060691674423,"flat","1"
"48",44331.4777327936,17465.0147804473,500.000000003667,5.46558704458822,500,-0.0010961254519107,36,-4.68855179492714,"short","2"
"50",43551.3467794077,4010846.21166941,7300,-131.351396461081,1293.24680021796,-0.00228000786655352,22,-2.36233509739982,"flat","1"
"51",48687.3954430289,38271.533640521,713.895734204001,7.73440089984792,577.169946561189,-0.00098719759003932,35,-3.55434856115633,"flat","1"
"52",48686.2570270218,87776.6772877638,1093.88438743163,14.1267621149531,-593.88438743163,-0.00139441435818282,35,-3.53701710480469,"flat","1"
"55",69020,277142.857142857,1500,26.5546218487398,1000,-0.00149665674759799,36,-5.65499231048677,"short","2"
